T,AP,RH,V,EP
25,1007.84,68.91,59.43,438.28
21.16,1014.13,72.77,50.66,455.86
22.89,1006.66,73.11,73.11,440.15
6.65,1014.01,87.6,38.5,491.54
24.24,1010.15,91.14,71.58,437.75
24.42,1002.04,84.7,66.56,434.18
13.32,1020.02,78.78,44.2,465.57
23.83,1002.04,64.78,71.37,443.29
28.79,1013.02,62.84,68.51,432.51
14.87,1015.53,57.7,35.71,468.75
10.52,1020.35,93.58,41.01,466.75
22.49,1019.6,57.1,61.27,448.51
4.89,1007.58,99.35,45.87,482.69
10.76,1023.81,87.96,40.78,469.97
19.11,1017.07,85.49,58.95,449.89
17.23,1002.45,68.88,41.1,464.18
29.1,1011.35,57.31,73.4,436.85
5.98,1017.27,84.86,39.61,482.17
21.99,1011.77,74.04,42.48,456.65
25.09,1010.17,86.01,71.58,434.51
30.35,1009.95,39.24,69.51,430.07
7.28,1017.61,87.56,39.81,483
21.08,1014.49,63.33,46.93,453.87
16.34,1006.36,75.52,41.16,462.56
27.59,1008.64,88.22,71.97,437.33
15.75,1015.91,69.58,39,460.73
21.9,1006.8,60.48,47.43,452.13
24.57,1004.44,83.15,66.54,432.41
19.95,1016.11,73.23,50.59,459.27
13.66,1005.46,96.02,40.55,467.7
21.73,1010.27,91.59,61.45,442.78
15.07,1014.33,100.12,50.88,464.37
30.82,1012.06,70.69,78.87,432.01
30.69,1013.9,42.85,69.89,431.01
21.91,1015.95,72.87,58.62,450.23
8.77,1011.54,89.58,40.77,480.56
9.57,1022.32,75.4,52.75,470.93
14.57,1022.44,68.82,37.86,463.58
34.53,1013.53,36.74,73.03,437.03
20.86,1010.24,76.64,57.32,446.48
22.84,1001.9,96.45,71.25,433.85
24.65,1020.52,53.45,64.63,446.04
30.15,1013.83,32.8,67.32,436.92
17.8,1008.71,78.5,43.72,458.92
10.95,1016.19,77.96,40.81,474.36
19.4,1012.89,75.53,49.69,455.6
26.09,1003.79,66.19,49.3,439.82
28.76,1010.03,58.24,60.23,437.42
28.91,1009.7,67.5,70.72,439.94
12,1019.48,58.71,41.17,474.4
25.71,1010.02,66.39,71.14,432.46
18.78,1019.22,80.2,63.09,452.86
20.73,1019.08,80.48,59.87,445.18
22.97,1021,70.61,64.15,450.07
13.17,1016.55,74.47,38.91,470.63
13.61,1020.49,75.09,41.16,462.67
30.34,1010.85,49.4,68.08,428.34
31.02,1006.24,77.86,70.4,431.37
12.6,1022.13,67.89,41.74,474.23
18.81,1020.79,67.09,49.15,459.81
20.17,1015.41,79.47,58.12,455.25
7.61,1009.05,97.32,41.26,480.68
24.55,1015.36,62.45,57.5,447.3
12.77,1013.29,86.4,36.71,475.59
29.5,1004.63,52.17,72.86,439.43
7.26,1014.86,97.82,41.22,488.75
15.74,1019.65,65.94,71.14,457.29
21.79,1017.21,66.74,58.2,446.94
9.18,1025.41,69.46,39.42,473.78
20.24,1013.73,99.59,58.41,449.49
22.31,1009.38,79.72,51.19,444.74
16.63,1005.85,72.02,39.16,460.29
21.46,1009.23,86.58,74.87,445.5
21.06,1011.92,75.52,62.91,455.22
28.86,1011.37,58.76,73.4,439.33
26.6,1012.35,54.42,61.41,451.4
13.67,1023.6,85.35,44.92,467.71
18.1,1015.47,82.47,48.06,454.04
22.59,1005.11,92.62,66.54,436.69
29.78,1007.82,77.59,70.98,436.32
22.25,1016.79,69.02,59.8,451.64
30.38,1007.44,74.77,74.16,432.84
17.18,1000.47,72.03,40.55,461.73
16.58,1021.5,83.38,44.68,458.87
11.72,1023.35,88.55,40.92,465.88
23.25,1017.82,59.64,63.86,445.12
10.23,1020.45,84.95,41.46,480.87
25.33,1002.54,68.45,48.6,442.48
5.48,1019.63,65.62,40.07,495.76
23.74,1012.78,42.5,49.21,447.67
27.22,1013.45,42.41,66.49,437.24
18.83,1016.85,87.16,58.46,449.63
33.83,1005.94,29.86,67.9,428.12
24.77,1013.78,80.57,58.41,446.27
28.55,1011.77,73.34,74.33,426.48
25.61,1014.1,62.9,52.36,451.42
10.38,1021.5,75.02,37.73,475.02
27.35,1008.51,65.81,69.48,432.31
4.49,1015.47,76.96,38.44,485.78
22.49,1009.75,76.43,58.71,443.33
12.04,1014.42,89.65,40.1,474.28
27.39,1008.82,78.35,69.14,435.22
21.73,1008.51,84.62,50.32,442.1
7.64,1031.58,71.19,40.02,479.43
33.38,1008.1,64.83,71.06,430.98
8.96,1015.91,89.4,40.05,467.24
22.31,1009.22,89.53,70.32,437.83
12.57,1023.2,56.85,43.8,466.68
14.57,1008.92,69.16,25.88,464.11
14.22,1006.26,88.05,48.6,459.69
15.14,1010.33,84.3,37.85,468.31
24.29,1013.04,65.85,62.91,442.18
14.24,1018.22,77.19,39.52,468.51
14.85,1020.67,75.76,44.63,460.06
7.89,1016.28,84.66,39.37,483.82
14.04,1018.4,65.79,40.56,472.98
30.18,1009.31,64.06,68.24,427.38
14.07,1017.77,87.83,46.18,465.05
18.23,1012.24,73.86,45.01,454.06
22.99,1009.88,81.56,61.02,440.85
16.3,1001.79,73.45,38.73,465.7
27.37,1008.16,79.94,72.58,428.05
24.82,1012.76,72.34,59.27,444.81
19.41,1020.84,81.89,49.39,449.24
16.63,1015.18,66.09,53.82,458.29
6.67,1022.31,83.51,36.08,486.52
22.69,1012.92,65.55,54.2,444.26
24.43,1017.99,74.27,67.25,436.5
12.85,1011.29,81.27,40.35,472.69
23.15,1003.71,76,66.48,435.62
27.35,1017.43,73.36,77.95,437.61
13.8,1023.99,79.72,45.08,466.71
7.71,1021,83.47,38.06,482.78
33.82,1008.67,46.95,72.29,432.13
18.61,1006.43,78.89,47.83,454.21
17.8,1007.27,81.31,46.48,452.66
27.1,1006.28,53.85,52.84,439.08
15.36,1002.4,91.67,41.35,465.01
8.42,1009.22,82.15,37.49,478.87
20.25,1009.27,97.97,63.91,448.37
11.6,1011.65,80.79,39.96,473.22
13.95,1019.76,75.51,71.14,461.18
21.99,1009.19,82.58,51.19,446.93
28.1,1011.28,59.05,61.02,437.5
10.94,1021.81,86.02,39.04,479.2
20.04,1020.62,78.84,49.39,449.63
17.57,1015.53,67.22,43.7,463.64
14.43,1012.56,78.52,39.82,470.17
16.37,1017.94,63.63,54.3,459.97
13.82,1013.19,90.11,40.2,466.99
10.37,1013.19,79.25,37.5,473.1
28.02,1006.5,72.41,71.77,428.58
29.98,1002.46,42.73,47.93,438.79
16.55,1022.71,42.73,41.93,466.77
19.27,1011.72,83.14,50.9,455.09
29.25,1007.18,63.62,71.94,427.49
19.12,1011.52,99.71,50.16,451.49
22.07,1010.52,82.96,70.72,442.88
26,1015.12,73.06,69.89,433.5
25.51,1004.53,80.03,67.69,433.02
13.83,1010.62,70.8,43.22,464.39
21.08,1013.53,98,63.13,443.51
16.74,1005.68,71.17,39.16,460.47
21.04,1012.26,85.61,54.2,443.41
28.97,1010.47,48.24,73.5,435.22
17.45,1012.16,83.8,50.9,458.67
20.82,1019.15,72.46,57.76,454.62
7.64,1020.01,75.14,41.17,488.53
24.85,1005.97,95.09,71.98,433.64
12.69,1021.62,80.19,40.71,477.14
18.32,1012.02,70,66.86,454.46
26.13,1005.61,90.27,79.74,431.29
18.99,1012.15,89.39,59.27,453.4
28.31,1007.88,47,70.32,432.5
31.7,1006.26,58.18,70.36,438.38
10.18,1019.71,66.7,35.76,473.31
22.49,1016.57,63.69,62.52,451.87
16.98,1015.48,51.77,44.85,464.27
14.1,1015.05,78.25,42.18,463.3
12.27,1019.41,58.1,41.17,475.13
31.19,1014.86,39.1,68.3,430.48
13.32,1009.45,75.3,43.22,466.83
24.26,1009.78,76.68,61.02,442.86
27.33,1012.26,82.18,73.18,429.38
30.97,1007.93,49.74,74.22,431.58
21.71,1017.95,85.07,60.77,444.59
22.26,1008.14,92.37,60.37,441.33
27.75,1007.48,78.37,77.24,433.57
25.18,1002.92,60.33,47.93,441.29
30.71,1006.15,34.15,68.24,429.41
26.42,1008.12,87.32,71.06,435.6
10.4,1018.58,93.48,45.01,470.79
12.21,1017.98,86.17,44.34,475.06
12.68,1014.46,79.77,40.69,475.37
25.18,1020.04,59.08,62.96,444.37
8.9,1026.31,95.46,39.96,474.49
30.93,1008.63,58.47,71.85,427.82
30.35,1009.55,63.62,77.17,432.75
23.49,1020.75,65.16,64.63,450.28
19.77,1020.67,66.33,56.65,457.09
23.18,1011.56,81.83,51.43,449.94
32.11,1010.36,58.78,78.05,431.31
23.96,1013.98,47.22,46.93,450.86
20.32,1002,51.71,39.72,458.8
29.08,1010.91,55.96,67.79,442.78
32.63,1005.64,52.56,73.88,435.75
18.32,1002.27,95.99,42.18,458.46
14.17,1007.38,78.88,42.99,470.68
16.49,1018.1,93.13,49.39,461.54
19.23,1012.53,48.86,41.67,465.66
26.24,1011.32,59.52,51.43,447.91
10.92,1021.84,83.03,40.92,467.05
31.87,1006.16,45.66,71.22,437
10.05,1018.98,83.71,41.17,481.38
14.75,1016.7,81.65,40.66,463.83
18.26,1016.94,78.91,60.95,457.03
17.34,1007.81,56.38,44.78,454.97
29.91,1013.22,39.76,74.33,430.26
16.76,1012.25,77.95,43.77,457
6.33,1012.06,93.16,39.33,492.22
29.17,1016.43,61.05,64.79,441.2
20.32,1015.16,36.35,44.6,460.21
23.64,1014.5,61.83,63.31,440.7
32.09,1003.1,56.91,69.4,430.62
29.83,1007.98,47.07,62.66,438.71
22.29,1014.39,84.89,56.89,441.9
30.66,1003.13,78.09,73.77,430
24.8,1018.79,60.79,59.87,441
21.33,1008.58,85.3,50.32,442.44
28.9,1011.64,64.44,68.84,437.06
10.31,1020.55,88.62,44.63,471.78
32.31,1010.45,38.01,62.04,449.65
25.66,1006.76,84.76,71.77,429.25
15.93,1009.45,72.83,25.88,462.7
8.86,1025.64,79.65,36.71,478.88
12.45,1025.63,66.26,40.81,474.73
25.44,1000.65,91.89,70.17,433.02
23.21,1012.24,65.31,58.66,450.92
14.24,1009.3,83.75,39.99,466.2
8.46,1015.14,85.38,39.66,484.16
24.11,1014.34,45.28,68.63,448.45
16,1020.5,80.89,44.9,461.5
25.56,1016.28,59.84,60.32,445.01
20.12,1013.23,88.48,69.45,442.89
22.82,1017.95,65.71,60.08,450.86
19.65,1011.73,93.89,57.85,450.5
32.48,1010.39,38.05,62.04,446.48
13.73,1020.44,85.54,50.59,459.6
23.43,1011.31,73.55,51.43,444.09
15.18,1019.6,72.45,44.2,462.09
10.59,1025.87,97.05,39.96,468.96
28.96,1010.88,49.45,75.23,439.03
15.5,1019.21,65.21,44.34,468.53
30.14,1006.54,57.05,67.69,426.91
10.69,1022.08,83.28,36.71,472.81
24.5,1011.54,57.92,58.66,451.03
23.25,1013.85,70.14,69.45,437.18
13.21,1018.12,82.98,40.03,469.75
30.88,1008.97,54.99,67.83,425.36
26.04,1006.82,84.88,72.43,432.94
24.91,1013.02,42.34,64.45,450.84
11.98,1018.59,86.71,44.6,470.02
18.01,1018.84,55.72,44.2,456.36
21.46,1007.45,95.33,58.18,444.12
32.86,1008.43,46.78,68.51,432.38
16.5,1017.7,95.66,53.29,458.37
12.41,1004.78,80.02,45.87,468.14
22.33,1016.84,67.09,59.8,450.07
11.48,1000.29,94.76,42.02,471.43
14.56,1009.52,91.14,47.45,451.95
30.08,1003.99,77.38,68.14,425.27
27.66,1001.31,69.47,76.86,436.64
5.96,1029.4,88.63,36.25,488.2
35.77,1006.36,36.31,73.56,430.14
24.56,1017.63,74.5,60.27,440.31
19.7,1015.93,47.39,43.79,464.41
19.83,1013.27,96.4,46.33,451.22
22.61,1008.41,79.4,50.32,444.74
31.88,1009.25,64.06,66.44,427.83
21.7,1009.12,91.3,70.32,438.52
25.72,1010.44,70.57,70.47,434.94
26.51,1010.3,57.4,70.32,431.82
25.2,1017.54,55.53,59.21,444.16
13.1,1017.79,84.48,40.03,470.75
27,1012.2,87.28,73.42,432.79
25.84,1009.26,59.55,67.83,433.32
23.76,1009.2,92.98,74.22,437.47
29.69,1002.85,44.76,47.93,438.09
21.69,1013.05,67.55,42.23,461.56
10.33,1020.7,96.68,43.99,474.17
24.19,1018.8,60.54,65.48,443.92
8.27,1015.09,73.64,37.7,479.16
28.15,1009.76,73.38,70.72,436.19
18.09,1010.6,52.11,48.92,455.07
27.18,1012.17,46.11,61.41,449.7
23.71,1014.54,46.04,68.63,449.41
26.76,1007.64,90.51,70.98,437.83
19.98,1021.56,63.89,49.15,457.54
24.82,1007.81,84.72,72.99,435.68
21.09,1013.03,74.8,46.63,453.34
21.19,1019.83,65.22,55.5,455.93
25.95,1001.35,92.67,73.77,432.21
30.7,1005.92,51.58,67.69,429.58
13.49,1015.75,57.86,43.41,461.06
15.79,1010.19,84.61,44.89,458.09
28.57,1003.57,66.55,69.84,433.24
23.48,1002.7,70.22,49.16,445.72
31,1006.29,48.56,71.77,431.07
34.96,1006.17,59.26,68.94,431.48
22.53,1015.12,75.1,60.95,449.43
31.41,1013.84,49.49,64.44,439.3
29.97,1006.09,61.6,67.9,434.14
7.44,1021.84,88.56,41.04,479.08
21.86,1015.83,63.36,64.45,457.8
22.41,1003.3,88.71,66.56,435.75
11.87,1019.06,94.11,40.55,473.79
23.93,1011.09,87.26,65.59,444.9
12.39,1016.38,84.95,44.58,475.37
10.06,1020.69,69.49,39.61,478.35
5.01,1003.69,91.9,39.4,475.34
24.74,1010.69,90.08,69.13,431.24
19.31,1014.86,69.37,60.07,453.47
6.3,1027.45,86.11,41.14,481.49
23.09,1010.93,90.07,69.13,436.67
9.24,1018.34,84.91,41.4,477.65
9.69,1019.1,71.91,40.46,472.16
13.65,1026.58,71.48,42.74,468.87
29.77,1005.82,48.38,67.07,433.89
9.2,1011.88,89.86,40.77,479.82
28.87,1008.09,64.29,57.19,435.57
28.22,1006.06,63.72,51.43,438.43
23.27,1019.05,61.36,65.48,443.43
9.82,1007.71,96.69,41.26,478.02
16.83,1007.21,87.23,46.48,455.64
23.18,1009.01,90.09,72.99,439.12
23.59,1010.85,55.98,43.77,448.42
8.95,1017.56,94.85,43.13,479.14
26.54,1009.5,87.18,69.34,435.51
22.56,1012.11,63.16,62.26,445.33
14.16,1015.63,77.29,39.28,471.27
31.54,1008.4,71.77,71.06,431.87
13.48,1030.2,65.96,41.92,463.9
13.74,1010.74,87.69,41.16,473.19
23.7,1002.07,85.19,66.56,436.94
22.35,1017.92,68.18,57.76,453.74
28.25,1006.36,67.03,71.77,429.39
21.96,1010.51,87.32,58.79,448.89
28.66,1014.04,51.26,74.93,440.79
16.37,1015.14,73.11,52.9,461.15
23.09,1011.4,89.76,73.5,438.56
23.19,1007.83,63.31,42.67,446.95
30.81,1008.36,75,71.97,430.53
22.84,1005.59,79.49,50.05,442.85
32.84,1014.68,45.8,77.95,431.97
24.41,1012.62,64.52,58.59,442.64
30.18,1012.63,47.74,65.74,441.65
28.3,1011.23,68.88,64.33,441.51
22.52,1014.34,82.77,64.27,445.4
6.59,1020.34,77.92,39.37,488.17
23.38,1009.29,92.4,59.07,442.83
19.89,1012.65,80.25,68.08,448.71
26.42,1013.95,66.03,59.39,438.54
12.07,1013.54,71.32,41.17,479.28
23.45,1010.5,80.77,69.04,442.48
15.24,1007.08,86.49,48.6,459.85
5.68,1012.11,92.86,40.35,486.79
10.29,1017.28,69.13,40.56,481.7
32,1011.22,46.16,65.74,440.26
9.6,1021.87,77.75,37.73,481.03
25.6,1010.18,67.43,63.76,435.75
32.56,1004.02,35.04,68.14,425.11
19.26,1015.74,84.64,58.46,450.66
13.33,1015.42,58.27,38.47,466.26
23.5,1018.29,63,59.21,443.31
13.66,1021.97,79.04,45,473.12
12.46,1017.53,93.47,40.73,464.7
28.77,1010.01,59,75.23,437.93
31.68,1005.29,37.34,68.24,427.22
10.31,1012.87,88.71,39.82,480.61
10.04,1013.36,95.17,41.62,463.87
25.6,1013.16,53.19,63.9,451.44
19.55,1013.55,57.82,39.39,464.36
17.82,1013.44,88.13,65.94,452.82
31.97,1007.03,55.84,79.74,435.99
28.21,1010.45,77.92,70.8,435.99
25.77,1014.76,69.99,59.39,438.64
17.54,1016.56,79,44.58,465.51
22.75,1016,67.34,58.86,448.32
10.2,1019.56,82.46,41.17,479.7
28.34,1013.7,61.13,63.77,439.75
14.78,1016.96,68.53,54.3,463.75
20.9,1005.43,82.85,67.07,443.46
14.37,1021.67,68.18,40.56,470.19
23.89,1004.88,73.94,50.16,444.99
29.66,1013.25,61.2,59.22,441.58
24.33,1013.83,44.59,46.93,447.54
28.55,1007.2,65.82,72.43,430.06
18.59,1008.56,68.61,39.54,462.56
21.94,1008.44,86.98,50.32,444.89
10.95,1015.69,62.3,39.22,474.07
21.76,1005.34,86.28,47.93,444.77
25.05,1013.37,66.14,58.59,442.93
22.95,1013.65,73.92,45.61,457.91
8.49,1021.05,87.74,39.61,483.94
7.1,1015.39,92.1,35.77,480.36
11.72,1012.08,83.98,40.35,476.41
11.72,1024.19,68.53,39.18,468.98
11.45,1017.98,84.64,41.17,476
23.36,1013.71,86.64,59.15,442.53
26.2,1010.14,76.14,71.73,430.89
29.01,1010.02,57.35,70.04,430.26
30.76,1009.89,50.43,73.17,430.98
27.91,1017.7,48.29,64.79,440.53
10.87,1002.08,95.22,42.02,472.63
12.61,1015.82,91.9,41.79,461.37
13.29,1019.63,75.09,71.14,464.18
23.83,1012.93,46.79,49.21,446.23
26.68,1012.33,60.78,62.91,441.04
23.83,1020.93,63.86,64.15,447.95
18,1015.4,61.28,43.7,464.26
12.65,1019.4,71.45,44.34,468.8
29.13,1014.96,37.08,68.3,437.25
18.49,1001.9,59.99,41.1,460.76
16.39,1014.58,90.34,58.59,455.05
32.96,1013.56,54.03,73.03,438.93
19.79,1008.77,94.72,51.19,447.96
24.44,1011.1,87.62,69.13,434.34
21.04,1008.41,90.19,50.32,446.33
17.35,1003,64.62,39.72,459.83
31.98,999.43,59.42,70.17,430.92
19.36,1016.25,45.65,44.6,464.56
23.33,1012.51,91.29,73.18,436.33
16.73,1023.44,60.68,45,467.08
8.57,1020.18,72.47,41.17,484.2
25.28,1013.95,52.79,49.5,454.01
22.66,1017.73,86.92,68.3,431.27
17.35,1013.18,67.67,39.39,467.85
18.14,1003.82,95.69,67.71,442.45
12.19,1014.77,84.39,40.05,473.92
10.11,1019.1,69.68,39.72,476.8
23.24,1017.1,63.8,63.78,446.95
28.98,1011.25,72.9,73.42,432.2
31.93,1006.9,56.27,72.58,425.14
13.25,1008.76,88.21,49.83,453.8
24.86,1016.85,71.24,60.77,440.68
26.33,1005.86,41.57,60.06,450.16
12.31,1020.71,94.6,40.64,475.65
29.6,1010.37,51.05,67.79,442.43
15.25,1014.86,76.87,52.9,463.93
14.79,1017.95,71.97,39.52,469.47
5.53,1013.48,94.19,35.79,484.25
9.01,1022.37,90.3,40.77,470.84
10.8,1019.74,74.08,41.39,478.75
10.24,1021.17,94.34,41.58,465.86
28.36,1013.34,42.82,68.08,434.54
9.43,1028.03,84.98,41.4,474.16
10.5,1024.06,76.05,40.8,482.85
33.96,1006.93,47.39,68.94,427.06
33.27,1010.63,43.47,66.44,430.11
12.17,1008.05,96.44,49.83,469.52
27.86,1009.23,46.19,61.5,439.49
22.36,1011.77,87.51,58.79,446.49
12.57,1009.11,70.74,41.66,475.61
31.09,1011.32,61.14,64.05,440.62
30.21,1006.82,54.03,79.74,430.83
27.31,1016.05,45.98,65.12,440.06
19.92,1015.02,82.71,63.31,443.54
16.17,1014.22,85.8,46.97,456.08
31.2,1005.71,34.84,68.24,428.67
20.19,1011.37,89.69,62.26,443.58
8.97,1013.21,90.77,36.24,477.89
8.7,1013.34,89.5,36.24,478.69
5.98,1016.5,91.83,38.91,488.85
19.8,1010.84,88.9,57.25,451.75
26.45,1013.81,61.7,74.33,433.16
20.51,1016.39,92.99,63.09,445.86
29.71,1008.81,70.86,71.85,428.49
18.03,1013.02,81.95,53.16,456.55
23.45,1010.99,79.2,70.04,436.46
6.05,1027.69,86.93,41.14,481.02
15.32,1013.3,83.72,45.01,459.31
6.53,1012.65,91.6,42.85,480.98
12.61,1013.41,78.94,43.22,466.85
15.95,1019.04,88.51,49.25,463.4
23.33,1012.47,79.48,54.2,440.11
23.94,1008.18,71.87,51.95,451.84
19.34,1018.03,84.77,64.79,454.59
31.11,1012.34,44.45,72.25,434.22
14.63,998.96,86.4,41.23,466.36
17.57,1019.51,86.14,62.1,453.3
17.31,1017.43,35.4,44.71,463.05
31.16,1014.69,32.25,67.45,428.35
10.05,1018.71,67.38,40.46,469.06
10.23,1017.93,91.1,42.07,475.14
16.31,1007.45,77.77,42.28,466.49
30.74,1005.79,57.89,73.67,428.92
31.38,1009.17,60.42,71.32,433.44
27.9,1011.8,70.04,63.13,439.76
3.96,1016.79,83.81,35.47,489.68
12.37,1009.1,76.06,43.22,468.49
15.28,1012.55,69.65,48.14,460.75
16.85,1005.61,100.1,49.78,455.33
18.82,1019.5,72.23,61.27,455.29
26.06,1007.59,74.08,49.02,437.9
19.62,1017.59,87.39,58.79,446.29
8.79,1019.5,66.3,40.67,489.02
25.52,1013.88,65.37,59.15,439.42
30.7,1010,48.96,71.58,429.27
21.19,1006.65,56.28,67.71,441.71
14.11,1023.27,83.22,45.08,464.7
26.19,1014.51,54.52,65.61,443.73
32.63,1002.42,40.07,74.99,432.79
7.67,1017.55,60.97,35.77,480.06
19.65,1009.26,99.08,63.91,444.9
18.83,1016.33,74.23,48.98,453.28
13.41,1010.85,89.61,40.89,472.4
25.24,1011.3,66.21,63.47,442.75
12.51,1008.61,94.27,49.83,452.84
27.14,1007.8,87.99,71.32,431.96
13.21,1016.63,74.1,41.2,474.26
25.2,1015.19,59.62,57.5,446.26
31.07,1010.58,43.66,73.5,432.06
4.71,1026.4,84.42,39.42,481.28
14.24,1011.17,70.45,39.58,469.94
10.62,1011.9,87.85,39.58,479.91
8.88,1026.61,76.16,36.66,480.2
23.25,1016.01,72.01,63.78,448.82
20.76,1001.89,77.86,69.05,442.82
6.22,1012.31,93.23,39.33,491.77
5.18,1010.84,81.64,40.27,489.1
30.3,1006.72,55.13,73.9,440.79
9.38,1020.41,85.26,44.77,473.9
29.28,1013.76,48.05,65.71,445.49
21.12,1009.33,96.14,63.91,447.64
26.52,1002.3,95.38,73.21,437.02
4.81,1013.96,86.94,42.85,479.8
6.76,1011.66,80.91,37.49,484.85
27.09,1003.93,61,49.3,437.44
33.2,1005.67,48.48,73.88,438.12
10.48,1004.81,92.16,40.22,477.78
14.22,1011.24,88.49,37.85,471.05
7.21,1017.81,90.12,42.03,482.26
19.02,1019.75,58.29,49.25,453.49
26.88,1006.54,93.7,79.74,434.77
14.19,1024.38,83.03,43.71,467.8
15.22,1014.19,100.12,50.88,460.44
23.17,1008.04,89.42,62.39,439.29
17.69,1019.55,86.64,46.36,462.81
18.48,1012.41,68.2,52.05,458.62
14.22,1014.16,80.22,39.39,470.98
22.72,1010.28,80.79,62.4,445.22
25.95,1009.36,66.82,69.51,434.38
13.57,1014.01,82.12,39.39,471.44
6.52,1012.55,86.36,39.85,483.01
29.25,1006.85,61.15,72.99,429.12
25.79,1007.11,86.03,70.4,437.98
25.75,1014.75,53.3,60.95,443.73
28.31,1009,77.56,71.85,429.57
24.24,1009.38,82.83,70.32,436.45
28.73,1008.31,56.85,68.24,430.63
34.62,1000.68,38.35,69.05,425.41
23.57,1011.06,82.79,70.04,437.53
14.51,1017.47,81.95,42.77,463.37
4.59,1010.85,71.78,39.33,494.9
24.31,1006.16,73.3,44.05,442.69
9.53,1018.43,75.33,38.18,476.54
26.99,1011.45,58.48,68.12,436.95
17.98,1018.29,83.46,53.29,455.71
29.38,1003.25,72.19,74.9,433.74
12.82,1018.71,83.8,38.62,467.41
29.84,1005.24,56.18,58.9,440.93
10.26,1019.68,98.97,43.14,466.75
20.57,1013.1,75.48,42.8,460.43
25.3,1015.91,69.71,58.46,439.25
24.56,1006.81,89.59,71.94,437.97
20.01,1018.05,58.88,52.9,455.57
11.54,1014.78,87.05,40.05,474.29
6.86,1020.12,79.14,41.17,490.23
13.11,1020.43,74.32,41.58,460.44
16.41,1016.28,45.19,41.48,451.93
10.45,1003.92,89.45,39.69,472.54
26.72,1010.35,63.31,67.79,444.68
30.12,1013.13,63.56,74.16,433.08
14.94,1004.82,98.04,41.35,466.73
15.39,1007.35,81.35,42.28,467.3
12.83,1012.84,84.29,41.67,474.81
13.93,1013.04,73.51,38.91,470.39
30.27,1007.93,51.61,70.32,430.22
27.76,1003.69,79.62,75.33,433.03
10.59,1008.1,98.27,41.26,474.76
23.24,1012.21,45.23,45.01,457.01
14.8,1018.29,85.11,58.2,455.14
25.2,1013,71.34,65.59,439.14
32.53,1014.76,58.1,77.95,434.44
23.36,1016.18,68.18,62.52,448.37
23.48,1006.7,88.57,70.79,432.25
29.04,1007.52,75.44,76.09,430.32
23.39,1020.45,58.22,64.63,449.27
27.44,1010.99,56.42,59.74,452
10.03,998.6,99.9,42.02,471.07
4,1008.46,97.21,39.9,490.68
24.96,1008.25,80.52,74.99,440.91
17.48,1020.03,76.47,52.9,458.34
13.26,1021.89,63.32,41.74,473.44
30.28,1007.51,74.28,70.98,432.64
30.3,1011.8,50.43,69.51,431.12
29.24,1003.12,43.18,69.05,432.56
7.64,1020.01,75.14,41.17,488.53
24.14,1007.33,73.27,62.66,439.93
28.87,1008.74,82.61,71.97,435.86
17.3,1013.56,87.57,46.21,456.77
18.87,1013.42,68.78,44.06,451.4
29.13,1010.51,52.94,62.26,436.37
18.26,1004.1,97.39,69.94,443.59
13.03,1014.39,86.25,42.86,475.03
12.47,1017.8,95.25,45.01,467.18
15.52,1015.09,83.48,42.86,467.12
29.86,1009.61,61.27,69.34,438.5
25.96,1016.95,49.47,63.78,443.8
8.04,1029.7,92.21,41.92,482.58
29.12,1001.31,52.86,58.84,446.51
23.74,1007.99,91.36,72.43,437.55
27.46,1013.06,46.49,68.08,433.72
25.51,1006.59,96.63,73.56,437.07
14.42,1019.35,59.17,44.88,462.72
24.79,1009.32,61.46,67.83,438.36
14.51,1009.72,80.62,41.79,459.14
19.09,1015.11,76.38,66.51,458.41
24.14,1012.4,73.26,69.23,433.92
21.24,1017.99,82.22,60.84,445.71
4.08,1018.87,97.07,35.19,489.44
17.4,1020.5,77.11,44.9,457.75
26.68,1009.94,70.57,59.92,438.67
20.5,1009.6,70.81,49.69,452.94
23.57,1020.95,68.19,64.15,450.08
22.69,1012.47,80.9,65.18,441.18
29.09,1005.99,41.39,67.07,429.93
21.43,1011.95,94.47,63.47,448.17
14.86,1018.3,49.46,44.71,466.38
17.53,1020.5,71.1,44.9,457.61
9.15,1012.45,81.67,44.03,474.26
24.19,1010.79,62.04,46.21,440.87
8.89,1019.27,82.87,41.54,483.82
4.61,1012.32,77.28,40.27,492.85
11.01,1015.46,89.22,40.05,474.2
29.9,1002.28,59.76,74.99,436.77
16.87,1012.7,71.63,52.05,460.31
30.97,1005.98,55.6,67.9,428.26
31.01,1007.95,43.57,67.83,429.46
16.03,1013.96,87.56,65.46,455.17
24.99,1016.37,67.16,58.79,439.2
31.01,1005.06,46.16,67.69,426.64
27.77,1013.62,51.43,63.9,441.3
17.44,1018.05,68.35,44.88,465.72
14.2,1015.36,74.85,45.51,465.35
18.43,1020.41,60.55,56.03,465.17
22.91,1012.8,92.69,61.86,441.24
14.89,1013.23,82.49,39.82,470.19
22.28,1018.98,84.12,60.27,443.44
30.68,1005.63,57.05,73.67,429.64
30.48,1010.73,53.7,70.04,429.85
18.3,1012.23,68.09,37.2,470.42
14.17,1014.94,48.62,43.13,471.08
13.98,1016.48,77.59,44.58,473.01
23.44,1016.46,67.21,62.52,447.19
20.54,1012.23,81.06,68.12,440.28
11.44,1014.88,63.88,43.13,477.57
15.15,1014.37,89.82,37.64,463.98
12.58,1018.08,64.25,39.72,469.38
